number(0), number(1), t, x(0), x(1), x(2), data 
0, 0, 1.499617e+01, 2.657647e+01, 0.000000e+00, 1.100000e+01, -1.942470e-02, -4.597657e-03, 7.261677e-03, 7.760106e-01, 5.145326e-04, 2.917648e+00, -1.937238e-03, -9.320323e-01, 3.292750e-03, -5.283139e-01, 8.626152e-02, 8.022164e-01, 2.670000e+00, 5.999999e+00, 3.464000e+00, 2.584479e+01, 0.000000e+00, 1.100000e+01
0, 0, 1.498383e+01, 2.657647e+01, 0.000000e+00, 1.100000e+01, -1.947416e-02, -4.321791e-03, 6.995121e-03, 7.755453e-01, 5.717519e-04, 2.919044e+00, -1.993907e-03, -9.317105e-01, 3.178560e-03, -5.280735e-01, 8.631647e-02, 8.021280e-01, 2.670000e+00, 5.999999e+00, 3.464000e+00, 2.584479e+01, 0.000000e+00, 1.100000e+01
0, 0, 1.497149e+01, 2.657647e+01, 0.000000e+00, 1.100000e+01, -1.953750e-02, -4.030702e-03, 6.704695e-03, 7.752327e-01, 5.741327e-04, 2.920664e+00, -2.017035e-03, -9.315315e-01, 3.010337e-03, -5.278326e-01, 8.636791e-02, 8.020428e-01, 2.670000e+00, 5.999999e+00, 3.464000e+00, 2.584479e+01, 0.000000e+00, 1.100000e+01
0, 0, 1.495914e+01, 2.657647e+01, 0.000000e+00, 1.100000e+01, -1.961771e-02, -3.729555e-03, 6.386947e-03, 7.750874e-01, 5.203199e-04, 2.922433e+00, -2.005223e-03, -9.315034e-01, 2.794751e-03, -5.275905e-01, 8.641570e-02, 8.019615e-01, 2.670000e+00, 5.999999e+00, 3.464000e+00, 2.584479e+01, 0.000000e+00, 1.100000e+01
0, 0, 1.494680e+01, 2.657647e+01, 0.000000e+00, 1.100000e+01, -1.971662e-02, -3.424746e-03, 6.038398e-03, 7.751149e-01, 4.145512e-04, 2.924270e+00, -1.960034e-03, -9.316258e-01, 2.542222e-03, -5.273476e-01, 8.645976e-02, 8.018844e-01, 2.670000e+00, 5.999999e+00, 3.464000e+00, 2.584479e+01, 0.000000e+00, 1.100000e+01
0, 0, 1.493446e+01, 2.657647e+01, 0.000000e+00, 1.100000e+01, -1.983484e-02, -3.123782e-03, 5.655739e-03, 7.753101e-01, 2.661957e-04, 2.926090e+00, -1.885880e-03, -9.318896e-01, 2.266267e-03, -5.271031e-01, 8.650009e-02, 8.018118e-01, 2.670000e+00, 5.999999e+00, 3.464000e+00, 2.584479e+01, 0.000000e+00, 1.100000e+01
0, 0, 1.492212e+01, 2.657647e+01, 0.000000e+00, 1.100000e+01, -1.997172e-02, -2.835067e-03, 5.236060e-03, 7.756578e-01, 8.849492e-05, 2.927804e+00, -1.789457e-03, -9.322755e-01, 1.982484e-03, -5.268573e-01, 8.653678e-02, 8.017442e-01, 2.670000e+00, 5.999999e+00, 3.464000e+00, 2.584479e+01, 0.000000e+00, 1.100000e+01
0, 0, 1.490977e+01, 2.657647e+01, 0.000000e+00, 1.100000e+01, -2.012555e-02, -2.567574e-03, 4.777202e-03, 7.761325e-01, -1.032748e-04, 2.929327e+00, -1.678769e-03, -9.327578e-01, 1.707179e-03, -5.266095e-01, 8.657008e-02, 8.016820e-01, 2.670000e+00, 5.999999e+00, 3.464000e+00, 2.584479e+01, 0.000000e+00, 1.100000e+01
0, 0, 1.489743e+01, 2.657647e+01, 0.000000e+00, 1.100000e+01, -2.029386e-02, -2.330427e-03, 4.278186e-03, 7.767015e-01, -2.939196e-04, 2.930575e+00, -1.562083e-03, -9.333053e-01, 1.455978e-03, -5.263599e-01, 8.660028e-02, 8.016258e-01, 2.670000e+00, 5.999999e+00, 3.464000e+00, 2.584479e+01, 0.000000e+00, 1.100000e+01
0, 0, 1.488509e+01, 2.657647e+01, 0.000000e+00, 1.100000e+01, -2.047377e-02, -2.132430e-03, 3.739612e-03, 7.773275e-01, -4.701676e-04, 2.931482e+00, -1.446838e-03, -9.338834e-01, 1.242597e-03, -5.261081e-01, 8.662780e-02, 8.015759e-01, 2.670000e+00, 5.999999e+00, 3.464000e+00, 2.584479e+01, 0.000000e+00, 1.100000e+01
